"uuid","acctStatusType","acctSessionId","userName","nasIdentifier","calledStationId","callingStationId","ruckusSSID","acctDelayTime","timestamp","connectInfo","classs","tunnelPrivateGroupID","acctSessionTime","acctInputPackets","acctOutputPackets","acctInputOctets","acctOutputOctets","acctTerminateCause","acctMultiSessionId","acctLinkCount","acctAuthentic","airespaceWLANId","arubaEssidName","arubaLocationId","arubaUserRole","arubaUserVlan","ruckusStaRSSI","ssid","operatorRadius","uploadTime","authMethod","accountOperator","ErroneousVariables","ignoreData"
"411ac99b-c372-4978-a80f-3e85f921024f","Stop","11B1BE77D7E29A5E","ERROR30c26b86001Z9b326@wlan.znc001.mcc525.3gppnetwork.org","N.A","8A-15-04-C1-3Z-92","88-Z3-22-CE-20-20","N.A","0","2018-11-07 08:01:05","CONNECT 54.00 Mbps, 802.11n, RSSI: 1, Channel: 1","ANTLABS-IMSI:525016137026863","N.A","502","153","998241","15341","153975653","Lost Carrier","43723490672CA27A","N.A","RADIUS","N.A","N.A","N.A","N.A","N.A","N.A","Wireless@SGx","Starhub","2018-11-08 18:10:31","EAPSIM","znc001","userName,",""
"ed520dcd-b03a-4ec2-a997-4285a012b4a0","Start","5b95441d/7c:01:91:90:ad:2f/55222753","botvfrwklgbnnz6dt@m1net.com.sg","ERRORKFC-PH Controller","fv:zz:9s:er:ep:wg:Wireless@SGx","ll-xy-0n-yg-5y-gu","N.A","0","1541145510","N.A","N.A","N.A","0","0","0","0","0","NULL","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Wireless@SGx","M1","2018-11-08 18:10:37","SSA","m1net.com.sg","nasIdentifier,",""
"d654bfe9-e2e7-4610-b85a-14a9abfc68e5","Start","5B954381-2D08F000","15d2657efc9cb4ed842c39b14864188ebe63958c","ERRORLR:YR:64:WB:7:Z5","N.A","N.A","N.A","N.A","4/11/2018 12:00:01 AM","N.A","N.A","N.A","N.A","N.A","N.A","0","0","N.A","6caab3ed3aecac5f3ee3d3ba5b954348e136","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:31","EAPSIM","N.A","nasIdentifier,",""
"96e21e6e-254c-4ed2-93c1-1a1d74c8296d","Stop","5B954348-2D3AE001","15d2657efc9cb4ed842c39b14864188ebe63958c","ERRORED:GO:HM:4:B0:8Q","N.A","N.A","N.A","N.A","5/11/2018 12:00:01 AM","N.A","N.A","N.A","N.A","N.A","N.A","347071","472865","N.A","6caab3ed3aecac5f3ee3d3ba5b954348e136","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:31","EAPSIM","N.A","nasIdentifier,",""
"68ec43b4-1624-47d8-a43f-5edcf6072dda","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
"cd4e267d-2b70-48af-9738-9bc65f2e37b8","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
"f0266e23-0af8-4468-aa2a-104e780802cc","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
"10c59c5f-f79c-4f9d-b9b8-7d58724fa20e","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
"e7a292e9-5389-4b25-98ec-27a5cc52c1a3","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
"942c50bc-e6c2-4f43-8b10-bdfa08397962","ERROR","ERROR","ERROR","ERROR","N.A","N.A","N.A","N.A","ERROR ","N.A","N.A","N.A","N.A","N.A","N.A","ERROR","ERROR","N.A","ERROR","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","N.A","Singtel","2018-11-08 18:10:32","ERROR","N.A","acctStatusType,acctSessionId,userName,nasIdentifier,timestamp,acctInputOctets,acctOutputOctets,acctMultiSessionId,authMethod,",""
